,mean,std
484,0.2292721,0.11289595
485,0.23374748,0.11174685
486,0.23689322,0.113997385
487,0.23076232,0.1179073
488,0.23852591,0.11554692
489,0.24355897,0.11831966
490,0.24383464,0.11354433
491,0.23873842,0.11801399
492,0.24088447,0.12132715
493,0.248718,0.117341965
494,0.24496034,0.114478275
495,0.24938063,0.12056668
496,0.24488814,0.11864373
497,0.25268117,0.12239185
498,0.25127015,0.11844616
499,0.24992108,0.1218207
500,0.25251704,0.122715116
501,0.25337166,0.12379734
502,0.25477216,0.11961249
503,0.25169617,0.11823728
504,0.25102744,0.12053186
505,0.25036004,0.119117975
506,0.25292486,0.12257919
507,0.24968393,0.11795144
508,0.2560209,0.12143497
509,0.25627893,0.12817267
510,0.24740283,0.12884133
511,0.25157538,0.12722112
512,0.2515717,0.12789883
513,0.25252447,0.12478926
514,0.25077924,0.12447359
515,0.25513542,0.12571931
516,0.25150782,0.12432607
517,0.25274727,0.12910227
518,0.25151882,0.12407698
519,0.2454193,0.11821682
520,0.25186598,0.13255693
521,0.24766774,0.121983945
522,0.25470597,0.12861723
523,0.24837808,0.12240608
524,0.25276107,0.12783849
525,0.24805212,0.120336704
526,0.24518684,0.12570512
527,0.24401188,0.1270672
528,0.24173775,0.121381424
529,0.24273844,0.12219899
530,0.24204779,0.12499485
531,0.24124947,0.12752432
532,0.24342108,0.12857017
533,0.24106653,0.11931346
534,0.23834705,0.13710196
535,0.23792395,0.12893641
536,0.24128385,0.13297008
537,0.2308913,0.13117349
538,0.23074202,0.12973575
539,0.23280458,0.12551056
540,0.22859296,0.13281402
541,0.22843805,0.13196313
542,0.22486678,0.13408768
543,0.22214112,0.13293739
544,0.22005165,0.13212638
545,0.22528462,0.12971471
546,0.21620151,0.13599177
547,0.22174391,0.1337378
548,0.21754944,0.13464458
549,0.21639581,0.13848092
550,0.20902972,0.12723571
551,0.20719042,0.13610323
552,0.20612188,0.13973129
553,0.20095389,0.1343749
554,0.19663511,0.13809142
555,0.19645865,0.13605402
556,0.20043233,0.13790195
557,0.191385,0.13462287
558,0.19067737,0.13991642
559,0.1908172,0.13861214
560,0.18370534,0.13417442
561,0.1839603,0.13209125
562,0.19099936,0.14074878
563,0.18226059,0.13441402
564,0.17651172,0.13500424
565,0.18095739,0.13934626
566,0.17539462,0.13686076
567,0.17173189,0.13832977
568,0.1705411,0.14298856
569,0.16275229,0.12935866
570,0.1616562,0.14131448
571,0.15869781,0.13983287
572,0.1565097,0.13505478
573,0.15742224,0.14108862
574,0.15339902,0.14357536
575,0.14671834,0.14243132
576,0.14151175,0.13936436
577,0.13994898,0.14554153
578,0.13860604,0.14389566
579,0.13685171,0.14253129
580,0.1296995,0.13913658
581,0.1276621,0.1427103
582,0.11927247,0.1381378
583,0.12207987,0.1403927
584,0.12283739,0.1472736
585,0.10901872,0.14669785
586,0.11080514,0.1410557
587,0.1085631,0.14036065
588,0.1006809,0.14646326
589,0.10713875,0.14776911
590,0.09510373,0.1413553
591,0.08999188,0.14607917
592,0.09108212,0.13814944
593,0.07940962,0.14641236
594,0.07849655,0.1385752
595,0.08047235,0.14192003
596,0.07162912,0.14494863
597,0.072566524,0.14119463
598,0.06684879,0.14838535
599,0.06827228,0.14621995
600,0.064339295,0.14982794
601,0.061253943,0.14627908
602,0.056235157,0.14940263
603,0.05480454,0.14780304
604,0.04811868,0.14581132
605,0.04138391,0.1426499
606,0.03898695,0.14420666
607,0.03570705,0.14653419
608,0.029791558,0.14688386
609,0.026563609,0.14995092
610,0.024659436,0.14890833
611,0.0212114,0.14427991
612,0.013606593,0.14363551
613,0.014482653,0.1482884
614,0.011875594,0.15000962
615,0.007085058,0.14449151
616,0.0027474612,0.15072538
617,-0.00047860146,0.14725098
618,-0.0040978133,0.1451184
619,-0.008592608,0.1490664
620,-0.009896356,0.15054439
621,-0.011001175,0.15029968
622,-0.02217773,0.14194949
623,-0.02223815,0.14977658
624,-0.021394704,0.14324266
625,-0.03454978,0.14462912
626,-0.030897569,0.15229744
627,-0.031867027,0.15306135
628,-0.039333522,0.1449648
629,-0.044297118,0.14848353
630,-0.04399228,0.14569315
631,-0.046008855,0.14518638
632,-0.055413134,0.14442717
633,-0.05633398,0.14546387
634,-0.060997088,0.14168006
635,-0.068506114,0.14784223
636,-0.063227296,0.14443675
637,-0.06868146,0.14917535
638,-0.076350726,0.1486003
639,-0.08099763,0.145141
640,-0.08130306,0.14470023
641,-0.08495597,0.14438574
642,-0.08870839,0.14197634
643,-0.09291522,0.14317288
644,-0.097946584,0.1453408
645,-0.09893889,0.14356066
646,-0.09966931,0.14031282
647,-0.10109042,0.14494081
648,-0.10161431,0.14611854
649,-0.11276175,0.14014319
650,-0.10921814,0.14630821
651,-0.117929555,0.1372799
652,-0.117115185,0.14173214
653,-0.12204812,0.14410987
654,-0.12873979,0.14074041
655,-0.13142505,0.143453
656,-0.12777162,0.14358109
657,-0.13845688,0.13791749
658,-0.13802053,0.13939537
659,-0.138817,0.13970284
660,-0.14832114,0.1392529
661,-0.15112087,0.14053096
662,-0.15711115,0.14438441
663,-0.15708634,0.14446102
664,-0.14855453,0.13803679
665,-0.15418425,0.13939849
666,-0.1575445,0.1380025
667,-0.16339004,0.13749276
668,-0.16617443,0.14143644
669,-0.16652697,0.13965383
670,-0.16606998,0.13893527
671,-0.16557565,0.1390244
672,-0.17006162,0.14262043
673,-0.17629111,0.13817193
674,-0.17485456,0.13673182
675,-0.17570315,0.13877456
676,-0.18371977,0.13597234
677,-0.18490252,0.13965286
678,-0.18469952,0.13484955
679,-0.18893127,0.13787091
680,-0.19186324,0.13552532
681,-0.18844931,0.13961388
682,-0.19062391,0.13764085
683,-0.19595143,0.1348727
684,-0.19479,0.13573897
685,-0.20003322,0.13434868
686,-0.20544204,0.13549654
687,-0.2034014,0.14234398
688,-0.19933665,0.1384254
689,-0.19611183,0.12978424
690,-0.2091535,0.13872829
691,-0.21056016,0.132556
692,-0.20226555,0.13589914
693,-0.2079037,0.1339795
694,-0.20230827,0.1402402
695,-0.20687425,0.13918771
696,-0.21383958,0.1332722
697,-0.21548302,0.13953099
698,-0.21722893,0.1297792
699,-0.21777377,0.13225964
